[2026-04-24 11:19:07.331] PUBLISH -> linear.x=-0.48, angular.z=0.18
[2026-04-24 11:19:07.352] PUBLISH -> linear.x=-0.54, angular.z=0.15
[2026-04-24 11:19:07.373] PUBLISH -> linear.x=-0.60, angular.z=0.12
[2026-04-24 11:19:07.394] PUBLISH -> linear.x=-0.60, angular.z=0.09
[2026-04-24 11:19:07.415] PUBLISH -> linear.x=-0.57, angular.z=0.06
[2026-04-24 11:19:07.436] PUBLISH -> linear.x=-0.54, angular.z=0.03
[2026-04-24 11:19:07.457] PUBLISH -> linear.x=-0.51, angular.z=0.00
[2026-04-24 11:19:07.478] PUBLISH -> linear.x=-0.48, angular.z=0.00
[2026-04-24 11:19:07.499] PUBLISH -> linear.x=-0.45, angular.z=0.00
[2026-04-24 11:19:07.519] PUBLISH -> linear.x=-0.42, angular.z=0.00
[2026-04-24 11:19:07.540] PUBLISH -> linear.x=-0.39, angular.z=0.00
[2026-04-24 11:19:07.561] PUBLISH -> linear.x=-0.36, angular.z=0.00
[2026-04-24 11:19:07.582] PUBLISH -> linear.x=-0.33, angular.z=0.00
[2026-04-24 11:19:07.603] PUBLISH -> linear.x=-0.30, angular.z=0.00
[2026-04-24 11:19:07.623] PUBLISH -> linear.x=-0.27, angular.z=0.00
[2026-04-24 11:19:07.644] PUBLISH -> linear.x=-0.24, angular.z=0.00
[2026-04-24 11:19:07.665] PUBLISH -> linear.x=-0.21, angular.z=0.00
[2026-04-24 11:19:07.686] PUBLISH -> linear.x=-0.18, angular.z=0.00
[2026-04-24 11:19:07.706] PUBLISH -> linear.x=-0.15, angular.z=0.00
[2026-04-24 11:19:07.728] PUBLISH -> linear.x=-0.12, angular.z=0.00
[2026-04-24 11:19:07.749] PUBLISH -> linear.x=-0.09, angular.z=0.00
[2026-04-24 11:19:07.770] PUBLISH -> linear.x=-0.06, angular.z=0.00
[2026-04-24 11:19:07.791] PUBLISH -> linear.x=-0.03, angular.z=0.00
[2026-04-24 11:19:07.812] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.832] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.853] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.874] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.895] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.916] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.937] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.958] PUBLISH -> linear.x=-0.06, angular.z=0.00
[2026-04-24 11:19:07.979] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:07.999] PUBLISH -> linear.x=0.06, angular.z=0.00
[2026-04-24 11:19:08.020] PUBLISH -> linear.x=0.12, angular.z=0.00
[2026-04-24 11:19:08.041] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:19:08.062] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:08.083] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:08.103] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:08.124] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:08.145] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:19:08.166] PUBLISH -> linear.x=0.45, angular.z=0.00
[2026-04-24 11:19:08.187] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:08.208] PUBLISH -> linear.x=0.39, angular.z=0.00
[2026-04-24 11:19:08.228] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:08.249] PUBLISH -> linear.x=0.33, angular.z=0.00
[2026-04-24 11:19:08.270] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:08.291] PUBLISH -> linear.x=0.27, angular.z=0.00
[2026-04-24 11:19:08.312] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:08.333] PUBLISH -> linear.x=0.21, angular.z=0.00
[2026-04-24 11:19:08.354] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:19:08.375] PUBLISH -> linear.x=0.15, angular.z=0.00
[2026-04-24 11:19:08.396] PUBLISH -> linear.x=0.12, angular.z=0.00
